"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1751","No products available","chromium","2026-01-27","passed","2026-01-27","Products - Not available","e2e/products-not-available.spec.ts","",""
"","4","should compare two objects with time comparator - error","firefox","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","1","should compare two objects with array fields custom comparator","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","5297","Submit Customer Feedback with XSS-like Input is Safely Rendered","chromium","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","11573","Increase item quantity in basket","firefox","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","4","should compare two objects with time comparator - error","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","7996","Submit Customer Feedback with Long Comment","webkit","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","8627","Submit Customer Feedback with XSS-like Input is Safely Rendered","webkit","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","20350","Increase item quantity in basket","webkit","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","1","should compare two objects excluding keys","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","0","Submit Customer Feedback with 1-Star Rating","chromium","2026-01-27","skipped","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","0","Submit Customer Feedback with 1-Star Rating","firefox","2026-01-27","skipped","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","6402","Submit Customer Feedback with XSS-like Input is Safely Rendered","firefox","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","9124","Complete Purchase Flow - Successful Checkout - last item","firefox","2026-01-27","passed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","5319","Submit Customer Feedback with Long Comment","chromium","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","34","Product search API request - unauthorized","chromium","2026-01-27","failed","2026-01-27","API Tests","api/api.spec.ts","",""
"","12412","Increase item quantity in basket - max amount","chromium","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","10015","Increase item quantity in basket","chromium","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","2327","Login negative","chromium","2026-01-27","failed","2026-01-27","Login Tests","e2e/login.spec.ts","",""
"","9057","Submit Customer Feedback with 5-Star Rating","webkit","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","9173","Submit Customer Feedback with Emoji/Unicode","webkit","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","4","should compare two objects with time comparator","firefox","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","184","Product search API request","chromium","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","122","Register user API","firefox","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","71","seed","chromium","2026-01-27","passed","2026-01-27","Test group","seed.spec.ts","",""
"","12769","Increase item quantity in basket - max amount","webkit","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","1830","No products available","firefox","2026-01-27","passed","2026-01-27","Products - Not available","e2e/products-not-available.spec.ts","",""
"","5435","Submit Customer Feedback with 5-Star Rating","chromium","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","16382","Complete Purchase Flow - Successful Checkout","webkit","2026-01-27","failed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","8579","Remove product from basket","firefox","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","11638","Complete Purchase Flow - Successful Checkout 1 item","firefox","2026-01-27","passed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","6604","Submit Customer Feedback with 3-Star Rating","firefox","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","3","should compare two objects with time comparator","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","4","should compare two objects excluding keys in nested objects","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","1","should compare two objects excluding keys","firefox","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","11604","Complete Purchase Flow - Successful Checkout","firefox","2026-01-27","failed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","8862","Login negative","webkit","2026-01-27","failed","2026-01-27","Login Tests","e2e/login.spec.ts","",""
"","66","Product search API request","firefox","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","177","seed","firefox","2026-01-27","passed","2026-01-27","Test group","seed.spec.ts","",""
"","5","should compare two objects with time comparator - error","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","60","Product search API request","webkit","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","11327","Decrease item quantity in basket","webkit","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","10640","Add products to basket based on quantity","chromium","2026-01-27","passed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","14994","Complete Purchase Flow - Successful Checkout 1 item","webkit","2026-01-27","passed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","8530","Submit Customer Feedback with 3-Star Rating","webkit","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","2","should compare two objects with time comparator","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","35","Register user API","chromium","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","9","should compare two objects with array fields ignoring order","firefox","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","10948","Add products to basket based on quantity","firefox","2026-01-27","passed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","30150","Register user","webkit","2026-01-27","broken","2026-01-27","Login Tests","e2e/login.spec.ts","",""
"","0","Submit Customer Feedback with 1-Star Rating","webkit","2026-01-27","skipped","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","5680","Submit Customer Feedback with Emoji/Unicode","firefox","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","9494","Complete Purchase Flow - Successful Checkout - last item","chromium","2026-01-27","failed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","321","seed","webkit","2026-01-27","passed","2026-01-27","Test group","seed.spec.ts","",""
"","14455","Remove product from basket","webkit","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","8456","Complete Purchase Flow - Successful Checkout 1 item","chromium","2026-01-27","passed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","5","should compare two objects with error","firefox","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","5392","Submit Customer Feedback with 5-Star Rating","firefox","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","5057","Submit Customer Feedback with 3-Star Rating","chromium","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","17593","Add products to basket based on quantity","webkit","2026-01-27","passed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","6","should compare two objects with array fields custom comparator","firefox","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","5","should compare two objects errors","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","8926","Decrease item quantity in basket","chromium","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","79","API Login","firefox","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","24","Product search API request - unauthorized","firefox","2026-01-27","failed","2026-01-27","API Tests","api/api.spec.ts","",""
"","12094","Increase item quantity in basket - max amount","firefox","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","8","should compare two objects excluding keys in nested objects","firefox","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","2","should compare two objects with array fields custom comparator","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","30094","Register user","firefox","2026-01-27","broken","2026-01-27","Login Tests","e2e/login.spec.ts","",""
"","16","should compare two objects with array fields ignoring order","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","2378","Register user","chromium","2026-01-27","passed","2026-01-27","Login Tests","e2e/login.spec.ts","",""
"","8709","Decrease item quantity in basket","firefox","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","8485","Remove product from basket","chromium","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","9185","Complete Purchase Flow - Successful Checkout","chromium","2026-01-27","failed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","8","should compare two objects with array fields ignoring order","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","140","API Login","chromium","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","4","should compare two objects errors","firefox","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","10","should compare two objects with error","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","3","should compare two objects excluding keys in nested objects","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","48","Register user API","webkit","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","6438","Submit Customer Feedback with Long Comment","firefox","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","18","Product search API request - unauthorized","webkit","2026-01-27","failed","2026-01-27","API Tests","api/api.spec.ts","",""
"","73","API Login","webkit","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","2664","Complete Purchase Flow - Successful Checkout - last item","webkit","2026-01-27","skipped","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","5450","Submit Customer Feedback with Emoji/Unicode","chromium","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","4","should compare two objects with error","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","3008","Login negative","firefox","2026-01-27","failed","2026-01-27","Login Tests","e2e/login.spec.ts","",""
"","4","should compare two objects errors","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","1","should compare two objects excluding keys","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","5437","No products available","webkit","2026-01-27","passed","2026-01-27","Products - Not available","e2e/products-not-available.spec.ts","",""
